Product,Rating,Content
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 1,sekelas official ngga mau tanggung jawab ongkir retur.. padahal udah jelas-jelas salah seller ngirim paket beda.. sangat di sayangkan saya sebagai langganan di buat kecew... 
Smart Watch Anti Air Support Android IOS Original 100%,bintang 4,bla bla..
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,tidak sesuai harapan yg di kirim tipe m5..
Smartwatch T500 Full Touch Screen Anti Air IP67 - Hitam,bintang 1,"dus luar peyok, dan blm genap 1 minggu touch screennya ga berfungsi sama sekali... yah ga kaget juga, ga berekspektasi besar dgn harga yg minim. sensor2 heart rate &... "
Smart Watch Anti Air Support Android IOS Original 100%,bintang 2,Sesuai harganya satu minggu langsung error
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 3,"Barang nya sudah sampai.
Pesan nya 2 warna Hitam + 1 Warna Navy. Tapi yang dikirim warna hitam semua. 
kondisi nya sesuai gambar"
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 4,yang datang M6 layar kecil..sebanding harga murah
Smartwatch M7 NEW 2022 Play Music Custom Dials Smartband - M7 Black,bintang 4,sayangnya kalo digoyang tdk bisa nyala
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,"sesuai,pas, okey"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 3,sesuai harga
Smart Watch Anti Air Support Android IOS Original 100%,bintang 4,"Barangnya Ok, seller Bagus dalam pelayanannya, keluhan hanya pada kepada anteraja karena sangat lambat, pesan same day malah diantar keesokan harinya padahal sudah tiba d... "
Smart Watch Anti Air Support Android IOS Original 100%,bintang 3,pesen yg pink yg datang hitam
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,Produk sampai dalam keadaan tidak bisa dihidupkan walaupun saat dicas bisa menyala
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,Cara setting-nya gampang.
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,"saya sdh komplein kok blm ada kelanjutannaya 
 sy byr 2 tp yg dtg 1. tlg kembalikan uang saya"
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 1,kecewa...
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 2,Kali ini Barang nya datang seperti barang bekas. Dusnya rusak2
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,tuhan yesus berkuasa
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,Barang tidak bisa hidup
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 1,"Seller sangat tidak peduli atas delivery yang sampai skrg saya belum terima, Antaraja yang sangat tidak profesional dalam pengiriman sempet di claim barang hilang sampai... "
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,Cara setting-nya gampang. Ringan dipakai .  moGa awett
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,smartwatch nya tidak bisa terhubung ke app nya...
Smart Watch Anti Air Support Android IOS Original 100%,bintang 4,"Ga ngerti caea ngidupin nya gimana, cuma jam aja yang nyampe, mana lama banget"
Smartwatch T500 Full Touch Screen Anti Air IP67 - Hitam,bintang 2,sya minta yg blue navy knapa di ksh yg hitam
iWatch Smart Watch Series 5 by Pods Indonesia - Putih,bintang 4,"Bisa terima WA, sms, tapi tidak bisa terima telephone dan balas pakai watch. Warna bakus, wrist band panjang buat small wrist."
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,Retur sudah diterima sayangnya warna yg dikirimkan kembali warnanya berganti
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 3,"Untuk pelayanan toko oke laah.. 
untuk produk sangat tidak recommended, tidak bisa konek ke hape, entah karena tidak support karena hp nya versi baru, pindah2 app juga te... "
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 4,awal ga diproses sampe auto cancel
Smartwatch M7 NEW 2022 Play Music Custom Dials Smartband - M7 Black,bintang 4,sesuai dengan harga
Smartwatch A1 GSM - Smart Watch U10 - Hijau,bintang 3,Matapppppppppppppppppp
Smart Watch Anti Air Support Android IOS Original 100%,bintang 1,didak bisa power on
Smartwatch A1 GSM - Smart Watch U10 - Hijau,bintang 4,"Barang sdh sampai.. di pengirimin saja yg agak lama, mungkn krn habis lebaran.."
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,"pesennya merah dikasih hitam,tanpa manual book lagi gimana cara settingnya?"
Smart Watch Anti Air Support Android IOS Original 100%,bintang 1,komponen tidak lengkap. kabel chargernya tidak ada.
OLIKE SMARTWATCH TOUCH SCREEN GPS WATERPROOF SPORT HEALTH TRACKER W11 - Biru,bintang 1,"tidak bisa dipakai, sbg jam goblokpun gak bisa"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,respon penjual tidak sesuai dengan harapan
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,no komen
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 1,🪦
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,barang tidak berfungsi sebagaimana mestinya
Smart Watch Anti Air Support Android IOS Original 100%,bintang 3,Proses pesanan cepat. tapi packing kurang aman
Smart Watch Anti Air Support Android IOS Original 100%,bintang 1,"barang datang tidak sesuai harapan.. minta di pembelian yang warna putih, tapi yang di kirim hitam. untuk proses claim ribet tentang penyertaan gambar dan documen, sedang... "
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,"Barang sesuai gambar, paking kurang baik, kurir ok, seller fast respon. Mungkin bisa diperhatikan lagi untuk packing nya. Trm ksh."
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 3,PACKING NYA KURANG BAGUS!!! TIDAK SESUAI HARAPAN DAN TIDAK MEMAKAI BUBBLE WRAP
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 2,"Kondisi kemasan penyok, warna yang dikirim tidak sesuai dengan yg dipesan"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,"agak berkaratan dibagian chargernya, jam digitalnya sering berubah terus. lumayan lah buat asesoris"
Smartwatch A1 GSM - Smart Watch U10 - Hijau,bintang 1,"Tidak mengecewakan, oke bgt
👍👍"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 2,tidak ada pengukur tensi seperti tertulis 😒
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 2,they don't care about packing. there items for sending customer... better to improve the packing.
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,"Respon penjualnya top. Cara setting-nya gampang.  Semoga bisa berfungsi dengan baik & awet. Thank you.. 
Kecewa di pengiriman Si Cepat yg ngaret, dengan estimasi 2 ha... "
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 4,semoga awet
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,"Barang ok, settingnya gampang, ga ribet, semoga awet. thx y gan"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,"good job, mdh2an awet"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 3,sesuai sama harga nya
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,"ya lumayan, makasih seller kasi barang yg bagus, tidak rusak, tapi kok ga full screen ya, coba dulu kalo setelah lama pake ga rusak, tak kasi tambah bintang"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,"Pesan yg warna navy, datang warna hitam. Tapi kualitas barang oke"
Smart Watch Anti Air Support Android IOS Original 100%,bintang 2,namanya juga produk dibawah 100rb an
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 1,iseng
Smartwatch A1 GSM - Smart Watch U10 - Hijau,bintang 4,Tinggal tingkatkan di paket barang sama box bawaannya gan. Lain2 nya saya pasti order lagi.
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,"Respons toko baik dan cepat, barang sesuai deskripsi berfungsi dengan baik tersinkron dengan aplikasi FitPro di HP Android, cuma packing tidak di lengkapi bubble beresiko... "
Smartwatch M7 NEW 2022 Play Music Custom Dials Smartband - M7 Black,bintang 2,"sudah dikirim bukti barangnya, namun tetap minta video"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,barang rusak di kirim. ga hidup sama sekali walaupun sudah di charge lama. 👎
Smart Watch Anti Air Support Android IOS Original 100%,bintang 4,B aja sih mendinh kalo ada dana lwbih dikit piilih agaj bagusan he3
OLIKE SMARTWATCH TOUCH SCREEN GPS WATERPROOF SPORT HEALTH TRACKER W11 - Biru,bintang 3,gak bisa customer antar muka nya
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 3,"Pas sampai ditangan, kardus sudah penyok2 dan terbuka serta isi berantakan"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,pesen m6 yg datang m5
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 2,"ga ad Bible warp.untung brng selamat
kaco2
udh rusak hah "
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,"pengiriman cepat, keterangan kurang jelas"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,blm di cek
Eggel Valor Amoled SmartWatch / Smart Watch / Band,bintang 4,"Sedikit aneh sih, suka restart sndri tapi random, gatau semua device yg type kaya gni kendala ny sprti itu.."
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 3,"Bintang 3 krena jelas2 gw minta hitam ama gray malah dikasih 2-2nya hitam , klau buat kualitas ya sesuai ama harganya walaupun agak lucu baterai nya berkurang sendiri pad... "
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 3,lumayan aja fiturnya jg lumayan
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,disentu tidak nyala! dicharger tidak nyala
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 1,"barang rusak, lcd nya hampir lepas, KECEWA!!!"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,"parah bgt gak di kasih bubble sama sekali cuma di bungkus selembar pelastik hitam. memang murah sih yatapi jgn gitu dong gan. barang datang mati,bener""gak ada batrai... "
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 2,ini gimana nyalain nya udh dicas tetep mati
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,"1. Saat tiba, dus dan plastik rangka penyok parah.
2. Jauh dari ekspetasi, ga bisa di setting jam atau apapun."
Smart Watch Anti Air Support Android IOS Original 100%,bintang 4,barang sudah sampai sesuai dengan harga🙏🙏🙏
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 3,Ringan dipakai . Kelengkapan sesuai.
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 2,Beda dengan gambarnya 😂 tapi lumayan untuk mainan anak
Smart Watch Anti Air Support Android IOS Original 100%,bintang 1,"Hahaaa penjual Tidak jujur, Barang KW Replika Bilangnya 100% ORI. Gak usah nipu konsumen, gak berkah min. Ganti tuh nama produknya biar gak banyak korban. Gak Berguna Sam... "
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,"Pesan 2 , satu tali hitam , satu tali merah . Yang datang keduanya tali hitam 😰"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,"dipakai 1 minggu wis ambyar, di charger susah. nyala juga susah. Angel pokoke"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,Rekomendasi
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 4,Sesuai sama harga.
Smartwatch A1 GSM - Smart Watch U10 - Hijau,bintang 3,"Maklum baru punya kalo ngeces sebelah mana ya?
"
Smart Watch Anti Air Support Android IOS Original 100%,bintang 2,fitur konektivitas bluetooth/app nya tidak berjalan sama aja boong....kasih keterangan lah sbagai alternatif!!
Smart Watch Anti Air Support Android IOS Original 100%,bintang 1,banyak fitur yg gk bisa dipake
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,"barang sudah diterima dan berfungsi, tp sayang pesan warna kuning atau opsi kedua merah...yg dikirim hitam, anak sy kecewa jadinya kasihan. padahal udah langganan belanja... "
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 4,"so far so good,untuk harga barang dibawah 50rb tidak bisa berharap banyak untuk kualitasnya..hanya bisa menerima apa adanya dan semoga awet..thanks seller"
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 3,jgn berekspektasi lebih dgn harga 50 rb
Smart Watch Anti Air Support Android IOS Original 100%,bintang 1,"kualitas barang jelek dan pelayanan buruk.. hati hati klau mau membeli barang dari toko ini
 tidak puas"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,Produk tidak dikirimkan karena dapat harga sale
Smart Watch Anti Air Support Android IOS Original 100%,bintang 4,Packaging rapi
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,"baterai aga boros.. aplikasi di hp juga banyak iklan 😂,  heart rate nya kudu di buka dulu"
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 1,"pertama datang dikasih jam yg beda dengan gambar, saya minta refund, akhirnya ditukar sesuai gambar, tapi yang dtg rusak. kalau mau buang barang jangan seperti ini carany... "
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,"barang gak bs hidup, udah dicharge seharian, udah pake segala cara (tarok di frezeer dll) gak idup jg. kecewa."
Smart Watch Anti Air Support Android IOS Original 100%,bintang 1,Tidak layak jual
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 2,The stopper(lock for the watch) just broken.
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,sesuai pesanan sesuai deskripsiRingan dipakai . Kelengkapan sesuai.
Smart Watch Anti Air Support Android IOS Original 100%,bintang 4,sampai nya lama
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 1,"kecewa untuk yg kedua kalinya belinya apa dikasih apa,toko ga amanah,bener2 ga amanah👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎"
Smartwatch M7 NEW 2022 Play Music Custom Dials Smartband - M7 Black,bintang 4,packing rapi cepat responsif recommended
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 1,mati total dicas ga nyalah
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 3,😔
Smartwatch M7 NEW 2022 Play Music Custom Dials Smartband - M7 Black,bintang 1,tidak sesui pesan biru dikirim hitam
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 3,sy sdh terima barangnya tp knp wkt sy charges baterenya ga penuh2 pdhl sdh seharian.. apa ad kesalahan?
